LV.el_max_factor,LV_AA.flow.sv,LV_AA.flow.net,LV_AA.flow.forward,LV_AA.flow.backward
1.6622312035169426,0.005701398823809402,0.7981958353333163,0.7981958353333163,0.0
1.2711952687850097,0.005629656772634692,0.7881519481688568,0.7881519481688568,0.0
0.6527851152016739,0.0050754747244733806,0.7105664614262732,0.7105664614262732,0.0
1.4138435716511057,0.005550088678494411,0.7770124149892175,0.7770124149892175,0.0
0.7842529587384053,0.005473896402819778,0.7663454963947689,0.7663454963947689,0.0
1.8185581083365463,0.005476873859574565,0.7667623403404391,0.7667623403404391,0.0
1.354106017986186,0.005289092762339027,0.7404729867274639,0.7404729867274639,0.0
0.6553403168604619,0.005374583714528602,0.7524417200340042,0.7524417200340042,0.0
1.2831146680491496,0.005659923992905351,0.7923893590067491,0.7923893590067491,0.0
1.7981887038549678,0.005295030889756945,0.7413043245659723,0.7413043245659723,0.0
1.4253002040790057,0.005701414056843694,0.7981979679581171,0.7981979679581171,0.0
